844,0,1,2014-12-04 18:31:57
845,1,1,2014-12-04 20:04:05
847,0,1,2014-12-04 20:12:51
846,1,1,2014-12-06 23:41:38
870,1,1,2014-12-07 12:43:58
780,1,1,2014-12-09 06:45:07
693,1,2,2014-12-09 11:39:29
688,1,1,2014-12-11 09:46:58
829,0,1,2014-12-11 20:16:51
887,0,1,2014-12-13 08:30:39
886,0,1,2014-12-13 12:31:23
885,1,1,2014-12-13 12:32:01
699,1,1,2014-12-13 12:39:50
877,1,2,2014-12-13 12:51:36
806,0,1,2014-12-13 16:40:05
794,0,1,2014-12-15 01:24:37
748,1,1,2014-12-15 18:12:03
805,0,1,2014-12-20 07:39:04
755,1,1,2014-12-21 01:32:23
687,2,2,2014-12-21 03:36:22
903,1,1,2014-12-21 18:59:57
784,1,1,2014-12-22 01:39:19
691,1,2,2014-12-22 13:16:32
809,1,1,2014-12-23 23:48:48
